stop_id,stop_name,stop_lat,stop_lon
STOP_547D_VIA,Sunninghill,-26.195,28.034
STOP_547D_END,Sunninghill,-26.195,28.034
STOP_33_START,Westgate,-26.195,28.034
STOP_33_VIA,Bedford Gardens,-26.195,28.034
STOP_33_END,Bedford Gardens,-26.195,28.034
STOP_32A_START,Westgate,-26.195,28.034
STOP_32A_VIA,Bedford Gardens,-26.195,28.034
STOP_32A_END,Bedford Gardens,-26.195,28.034
STOP_3_START,Westgate,-26.195,28.034
STOP_3_VIA,Highlands North,-26.195,28.034
STOP_3_END,Highlands north,-26.195,28.034
STOP_2_START,Westgate,-26.195,28.034
STOP_2_VIA,Birnam,-26.195,28.034
STOP_2_END,Birnam,-26.195,28.034
STOP_83_START,Westgate,-26.195,28.034
STOP_83_VIA,Malanshof,-26.195,28.034
STOP_83_END,Malanshof,-26.195,28.034
STOP_71B_START,Westgate,-26.195,28.034
STOP_71B_VIA,Fairlands,-26.195,28.034
STOP_71B_END,Fairlands,-26.195,28.034
STOP_83C_START,Westgate,-26.195,28.034
STOP_83C_VIA,Randpark Ridge,-26.195,28.034
STOP_83C_END,Randpark Ridge,-26.195,28.034
STOP_85B_START,Westgate,-26.195,28.034
STOP_85B_VIA,JHB North,-26.195,28.034
STOP_85B_END,JHB North,-26.195,28.034
STOP_15F_START,Westgate,-26.195,28.034
STOP_15F_VIA,Longmeadow,-26.195,28.034
STOP_15F_END,Longmeadow,-26.195,28.034
STOP_84_START,Westgate,-26.195,28.034
STOP_84_VIA,Honeydew,-26.195,28.034
STOP_84_END,Honeydew,-26.195,28.034
STOP_84C_START,Westgate,-26.195,28.034
STOP_84C_VIA,Honeydew,-26.195,28.034
STOP_84C_END,Honeydew,-26.195,28.034
STOP_82_START,Westgate,-26.195,28.034
STOP_82_VIA,Ferndale Extention,-26.195,28.034
STOP_82_END,Ferndale Extention,-26.195,28.034
STOP_80_START,Westgate,-26.195,28.034
STOP_80_VIA,Beeverly Gardens,-26.195,28.034
STOP_80_END,Beeverly Gardens,-26.195,28.034
STOP_85_START,Westgate,-26.195,28.034
STOP_85_VIA,Johannesburg North,-26.195,28.034
STOP_85_END,Johannesburg North,-26.195,28.034
STOP_15B_START,Westgate,-26.195,28.034
STOP_15B_VIA,Lombardy East,-26.195,28.034
STOP_15B_END,Lombardy East,-26.195,28.034
STOP_420_START,Westgate Node,-26.195,28.034
STOP_420_VIA,Randburg centre,-26.195,28.034
STOP_420_END,Randburg centre,-26.195,28.034
STOP_420A_START,Westgate Node,-26.195,28.034
STOP_420A_VIA,Sunninghill,-26.195,28.034
STOP_420A_END,Sunninghill,-26.195,28.034
STOP_430A_START,Westgate Node,-26.195,28.034
STOP_430A_VIA,Sunninghill,-26.195,28.034
STOP_430A_END,Sunninghill,-26.195,28.034
STOP_421J_START,Yeoville,-26.195,28.034
STOP_421J_VIA,Noordhang,-26.195,28.034
STOP_421J_END,Noordhang,-26.195,28.034
STOP_421K_START,Yeoville,-26.195,28.034
STOP_421K_VIA,Dainfern,-26.195,28.034
STOP_421K_END,Dainfern,-26.195,28.034
STOP_421I_START,Yeoville,-26.195,28.034
STOP_421I_VIA,Northlands Business Park,-26.195,28.034
STOP_421I_END,Northlands Business Park,-26.195,28.034
STOP_421N_START,Yeoville,-26.195,28.034
STOP_421N_VIA,Northgate centre,-26.195,28.034
STOP_421N_END,Northgate centre,-26.195,28.034
